190,Elliot Stein,1921/01/27,2798 Lill,St. Louis,63718,Missouri,608 894 1251
344,Melina David,1934/03/31,2618 Bessie Coleman,Jersey City,07381,New Jersey,334 392 8678
757,Amos Roberts,2003/03/16,1808 Kennedy Kimball Av,Las Vegas,89504,Nevada,779 298 0796
52,Andy Whitehead,1920/09/28,9930 84th,Knoxville,37694,Tennessee,479 798 4716
785,Juan Cannon,1922/09/13,9168 Central,Peoria,61590,Illinois,336 304 6090
768,Augustus Garner,1979/09/02,4250 Winona,Rockford,61182,Illinois,949 440 4677
675,Cory Palmer,1972/08/29,6217 Marketplace Access,Chesapeake,23345,Virginia,909 110 4119
39,Quinton Cote,1978/03/12,8468 Lavergne,Sacramento,95766,California,216 469 8942
142,Kendall Jensen,1959/09/12,6297 Kennison,New York,10838,New York,513 781 5257
923,Quinton Fuentes,2005/07/02,7331 Hill,Richmond,23230,Virginia,650 719 3440
802,Marvin Jarvis,1957/10/08,7726 Hayford,Chattanooga,37017,Tennessee,608 629 7385
407,Bentlee Aguilar,2008/10/31,2006 Broad,Shreveport,71193,Louisiana,210 862 4355
605,Cameron Vazquez,1992/12/24,3455 Fargo,Montpelier,05659,Vermont,251 583 6656
852,Princeton Park,1991/07/02,9542 Dan Ryan 31st St,Rockford,61101,Illinois,802 834 8209
27,Cedric Jefferson,1997/06/07,6527 Jarvis,San Bernardino,92357,California,661 683 8029
510,Leighton Pickett,1961/03/08,1706 Clinton,Plano,75091,Texas,312 231 3195
862,Kayden Melendez,1936/11/27,7959 Kennedy Racine Av,Oxnard,93080,California,618 914 0133
817,Courtney Vincent,1902/01/27,2234 Liberty,Laredo,78084,Texas,815 119 6286
747,Valentin York,1955/01/13,8047 Greenwood,Mobile,36697,Alabama,972 840 4942
516,Wayne Patton,1924/05/24,3151 Ridgeway,Augusta,30908,Georgia,717 903 7574
606,Ari Burch,1948/12/21,6122 Houston,Baltimore,21820,Maryland,314 436 4782
366,Donovan Rose,1991/12/31,4289 Louise,Charleston,29404 ,South Carolina,304 790 7577
232,Scott Deleon,1939/10/31,4821 Edens Elston Av,Irving,75099,Texas,641 263 8931
944,Isai Rosa,1994/12/19,6438 Kennedy Express,Kent,98032,Washington,919 276 9753
