178,Sloane Mcclain,1916/02/13,3514 Edward,Mesa,85475,Arizona,509 536 5006
849,Jay Mathews,1901/02/16,7591 College,Tallahassee,32372,Florida,773 209 1137
791,Melanie Arnold,1936/03/31,244 113th,Santa Ana,92601,California,859 398 0843
420,Caiden Stark,1985/10/13,7396 Mautene,Columbia,29004,South Carolina,858 160 7481
799,Kieran Waters,1980/02/26,7191 79th,Providence,02809,Rhode Island,850 913 1858
382,Hezekiah Finley,1911/03/21,2935 Oswego,Hialeah,33089,Florida,916 997 5604
276,James Morales,1992/09/17,993 Jarvis,Cedar Rapids,52227,Iowa,360 723 1730
488,Peyton Craft,1965/03/06,7732 Carroll,Des Moines,50331,Iowa,954 722 0897
428,Ean Padilla,1910/12/22,6322 Cyril,Laredo,78077,Texas,603 169 5224
496,Madden Frye,1996/10/07,5213 South Shore,San Bernardino,92325,California,440 859 9599
440,Jaydon Gallagher,1953/09/25,4272 Birkhoff,Hartford,06164,Connecticut,412 200 4699
225,Selena Mccarthy,1979/01/27,1123 College,Denver,80134,Colorado,423 828 1861
977,Brody Schwartz,1975/06/26,1926 68th,Fayetteville,72771,North Carolina,713 830 9094
524,Esteban Blanchard,1902/01/26,4419 Eisenhower Ib Dan Ryan Ob,Tampa,33006,Florida,206 467 7184
420,Braylen Miles,1989/01/13,9511 Garvey,Peoria,61510,Illinois,417 682 7878
400,Kaeden Humphrey,1911/09/14,2432 Irving,Joliet,60418,Illinois,360 149 8260
800,Leah Cardenas,1940/04/28,7473 Rosemont,Joliet,60407,Illinois,551 916 7819
952,River Hamilton,1959/09/03,7651 Kenneth,Providence,02818,Rhode Island,903 480 5006
127,Izayah Slater,1927/04/19,986 Midway Airport,Boston,02051,Massachusetts,209 812 1198
568,Veronica Townsend,1947/01/24,4161 Stetson Lower,Fargo,58012,North Dakota,818 213 6490
79,Nash Howe,1969/09/23,6489 Bernard,Bellevue,98011,Washington,512 713 5552
556,Krystal Wooten,1937/08/12,455 Elmdale,Chesapeake,23353,Virginia,601 221 4190
346,Rylie Hardin,1928/06/26,6504 127th,Minneapolis,55011,Minnesota,762 454 4946
573,Francesca Marsh,2000/11/06,7362 Corcoran,Washington,20448,District Of Columbia,847 960 8864
300,Bodhi Hutchinson,1974/04/21,637 Talman,Spokane,99212,Washington,717 224 9890
827,Maxwell Bailey,1930/04/01,1455 Touhy,Lansing,48804,Michigan,928 251 1688
374,Arlo Justice,1910/08/27,8801 Lake Shore Lower,Philadelphia,19615,Pennsylvania,234 325 3816
661,Adalynn Horn,1928/01/31,1032 Calhoun,St. Louis,63451,Missouri,530 779 3202
629,Willa Rivera,1970/09/08,3058 Lynn White,Little Rock,72113 ,Arkansas,419 240 2595
152,Reed Reid,1913/12/27,8562 Randolph Lower,San Diego,92037,California,985 224 1991
610,Chloe Weiss,1983/05/14,901 Rutherford,San Antonio,78749 ,Texas,559 536 3807
318,Louis Brock,2002/03/23,8812 Nixon,Fresno,93318,California,708 448 4574
13,Bruce Weaver,1939/10/11,8115 Eisenhower Ib Dan Ryan Ob,Detroit,48689,Michigan,862 361 8657
340,Jayce Ball,1952/02/23,8209 Baggot,New York,10989,New York,251 125 0233
638,Emersyn Greer,1913/07/30,628 Stephen A Douglas,Mobile,36644,Alabama,901 586 0981
326,Leonidas Mcfarland,1981/04/04,5094 Canalport,San Jose,95577,California,351 577 9387
219,Rebecca Spears,1909/12/11,9218 Lsd Nb Stevenson Ob,Henderson,89002,Nevada,762 284 1114
929,Alexis Lee,1943/06/23,5249 Bennett,San Jose,95942,California,956 990 9619
381,Madeleine Santana,1940/06/11,3676 Hoxie,Winston-salem,27130,North Carolina,973 872 1094
120,Eliseo Wolfe,1916/08/24,6851 72nd,Norfolk,23597,Virginia,240 827 2977
14,Jadiel Duran,2000/09/29,9662 Armour,Sterling Heights,48318,Michigan,507 891 9432
301,Cory Ball,1989/04/17,38 Wentworth,San Bernardino,92383,California,785 892 2006
959,Tony Barr,1938/12/25,766 Haft,Boise City,83100,Idaho,251 451 8557
311,Nancy King,1969/03/14,9421 Glenwood,Louisville,40570,Kentucky,585 429 4084
13,Joe Schwartz,2015/04/27,2273 Evelyn,Cedar Rapids,52221,Iowa,814 575 1520
886,Arya Travis,1907/10/13,6131 Steuben,Chandler,85273,Arizona,864 250 9413
839,Brielle Stone,1916/02/21,1723 Henke,Olathe,66081,Kansas,979 358 1421
280,Nicole Edwards,1986/10/13,2974 Claremont,Fort Worth,76682,Texas,660 979 5676
629,Kinsey Tucker,1941/11/06,8076 Flournoy,Chattanooga,37241,Tennessee,419 650 8078
767,Zaniyah Savage,2013/02/25,3675 Corbett,Oxnard,93072,California,270 375 8854
875,Cannon Mcbride,1919/05/04,6904 91st,Montpelier,05655,Vermont,847 370 2686
971,Trenton Winters,1953/03/26,9033 Lithuanian Plaza,Austin,78238,Texas,915 924 0322
852,Payten Nguyen,1964/05/22,3049 132nd,Alexandria,22268,Virginia,434 783 7303
701,Rory Fry,1922/08/23,4833 Eisenhower Central Av,Mesa,85010,Arizona,309 572 3196
750,Houston Reyes,1939/07/30,4853 Melvina,Des Moines,50396,Iowa,972 919 6475
483,Esme Harris,1981/01/21,7220 I55 Pulaski Rd,Kansas City,66083,Kansas,980 449 4507
383,Dante Guzman,1993/11/24,7309 Chicago Beach,Indianapolis,46314,Indiana,978 373 4279
31,Lukas Morin,1980/03/27,530 Miami,Anaheim,92844,California,808 486 9854
224,Kallie Key,1920/04/11,2266 Senour,Cedar Rapids,52227,Iowa,484 929 1064
